Base;Algo;K;ISM;ICH;Rand;ICS
AGGREGATION;BFESGA;6;0.0549505598613103;275.82556608951;0.349665319845413;45.3423223350254
COMPOUND;BFESGA;5;0.256594179042996;322.120227883206;0.631957453793689;54.7255639097744
GLASS;BFESGA;4;0.0927242729404187;182.022573049985;0.290168603721112;54.4489795918367
ECOLI;BFESGA;3;0.138657579406991;71.133841490417;0.247317877400185;8.44761904761905
FLAME;BFESGA;4;0.380835340224535;231.902197931543;0.161248995920229;89.5607476635514
HABERMAN;BFESGA;3;0.161549993162285;116.02394503176;0.0674041774254512;100.219421101774
IRIS;BFESGA;5;0.152987900516761;100.313324582074;0.0662098894547018;56.985754985755
IONOSPHERE;BFESGA;6;0.216802494288108;257.676096106337;0.417966959790108;14.8714285714286
JAIN;BFESGA;7;0.406439253789483;442.009253925123;0.247128857406957;22.6350057449253
NEW-THYROID;BFESGA;4;0.514666484681471;406.336044403382;0.634546019300249;131.111205073996
PATHBASED;BFESGA;7;0.311672187171212;188.442743369435;0.370641131645062;23.1828571428571
PIMA.INDIANS;BFESGA;6;0.131132744486303;364.205532991645;0.120250313954501;121.491071428571
R15;BFESGA;9;0.505811815542615;501.976531510334;0.26288699991953;100.53125
SEEDS;BFESGA;5;0.0164191115368147;55.8481999125108;0.353858298589234;10.2952380952381
SPIRAL;BFESGA;11;0.292268045415532;202.80202713951;0.0858052282553016;5.10489510489511
WDBC;BFESGA;5;0.14778956340036;144.832263013733;0.159821308583863;286.732613607833
WINE;BFESGA;4;0.0930463909036337;123.41702926741;0.447682456817475;11.4911717495987
YEAST;ESGBRKGA;6;0.0929251184482117;302.03120823409;0.102287485071452;567.452830188679
