Base;Algo;K;ISM;ICH;Rand;ICS;clust_tendency
AGGREGATION;BFESGA;6;0.0549505598613103;275.82556608951;0.349665319845413;45.3423223350254;0.654350607768109
COMPOUND;BFESGA;5;0.320202195821093;394.895832864566;0.631957453793689;54.7255639097744;0.583814526789121
GLASS;BFESGA;3;0.340683452190226;248.727942380607;0.528043718397602;113.414965986395;0.905757571591281
ECOLI;BFESGA;3;0.220932663681025;94.80242877035;0.247317877400185;8.44761904761905;0.522036870699896
FLAME;BFESGA;4;0.416181766533967;77.7700134349886;0.161248995920229;89.5607476635514;0.894137905922958
HABERMAN;BFESGA;3;0.17989314779846;81.6287529147338;0.0674041774254512;100.219421101774;0.785595379706673
IRIS;BFESGA;5;0.152987900516761;27.6298620146427;0.0662098894547018;56.985754985755;0.685031595694883
IONOSPHERE;BFESGA;6;0.301595609832978;172.134135354753;0.417966959790108;14.8714285714286;0.821186883185849
JAIN;BFESGA;7;0.406439253789483;442.009253925123;0.247128857406957;22.6350057449253;0.845760574079516
NEW-THYROID;BFESGA;4;0.538034484842244;106.957922839316;0.634546019300249;131.111205073996;0.908177098579116
PATHBASED;BFESGA;7;0.311672187171212;188.442743369435;0.370641131645062;23.1828571428571;0.710013194677643
PIMA.INDIANS;BFESGA;6;0.140084576025969;92.2649233841981;0.120250313954501;121.491071428571;0.805243025898692
R15;BFESGA;9;0.505811815542615;501.976531510334;0.26288699991953;100.53125;0.913597807858617
SEEDS;BFESGA;5;0.0877379723923514;51.886965263615;0.353858298589234;10.2952380952381;0.810122934034439
SPIRAL;BFESGA;11;0.292268045415532;202.80202713951;0.0858052282553016;5.10489510489511;0.730527876425689
WDBC;BFESGA;5;0.14994092390948;79.0639763567207;0.159821308583863;286.732613607833;0.850313438203972
WINE;BFESGA;4;0.11984661866881;60.647202825515;0.447682456817475;11.4911717495987;0.714152564588751
YEAST;ESGBRKGA;6;0.112569487895439;105.990383673888;0.0881969925209666;441.671495956873;0.917078636666042
AGGREGATION;ASGBRKGA;6;0.0660529470069453;251.25670743673;0.399579968315961;290.110779337116;0.654350607768109
COMPOUND;ASGBRKGA;4;0.248657517768008;129.02907803614;0.348735995191138;145.55980861244;0.583814526789121
GLASS;ASGBRKGA;3;0.156397828536946;4302.9980985086;0.0450729024200302;302.475;0.905757571591281
ECOLI;ASGBRKGA;2;0.225946301746262;50.0198898405002;0.0493759964156224;110.3375;0.522036870699896
FLAME;ASGBRKGA;3;0.480421221969117;30.7852660026156;0.0824353302193672;159.147196261682;0.894137905922958
HABERMAN;ASGBRKGA;2;0.446369794605291;78.0237405889647;0.0866057780655422;253.442067736185;0.785595379706673
IRIS;ASGBRKGA;2;0.182826394092163;3359.73030355693;-0.0107714686423049;253.558663558664;0.685031595694883
IONOSPHERE;ASGBRKGA;3;-0.0159955721076213;6598.65603016517;0.000256217272246862;97.0492307692308;0.821186883185849
JAIN;ASGBRKGA;4;0.203447730588009;182.188279008441;0.546616513522547;179.254021447721;0.845760574079516
NEW-THYROID;ASGBRKGA;2;0.668597309254464;23.5823622610701;0.106645130171634;198.457142857143;0.908177098579116
PATHBASED;ASGBRKGA;3;0.180017146730655;34.5958114114058;0.00470693563349593;241.7375;0.710013194677643
PIMA.INDIANS;ASGBRKGA;3;0.192674136657397;34.1788200763537;-0.0101364168171599;689.904761904762;0.805243025898692
R15;ASGBRKGA;6;0.384710933300516;185.856511506452;0.172110735314926;185.48;0.913597807858617
SEEDS;ASGBRKGA;2;0.441108038004482;224.129259327621;0.250627188074289;112.464285714286;0.810122934034439
SPIRAL;ASGBRKGA;3;0.164088813532991;73.146833360046;0.0473521249975552;195.3125;0.730527876425689
WDBC;ASGBRKGA;2;0.528389180205648;21373.7792422838;0.0122418448318612;539.571958601836;0.850313438203972
WINE;ASGBRKGA;3;0.162103041031575;39.87;0.316787265548707;67.6367041198502;0.714152564588751
YEAST;ASGBRKGA;2;0.361744265754743;25.6052762150633;-0.00195165273288331;1447.70050913447;0.917078636666042
