Base,Algo,ISM,clust_tendency,grid_type
200DATA,BFESGA,0.570913874442942,0.899466769287645,ESG
400P3C,BFESGA,0.463492563206353,0.930868405936974,ESG
A1,ESGBRKGA,0.261363927394257,0.904704439960259,ESG
BANKNOTE,ESGBRKGA,0.183756346205771,0.927867890960805,ESG
CHART,BFESGA,0.0226596290789401,0.671284191884265,ESG
CONCRETEDATA,ESGBRKGA,0.116127145440478,0.899574199728461,ESG
DBLCA,BFESGA,0.0522270672795768,0.720785788319065,ESG
DOWJONES,BFESGA,0.376880234875698,0.653503104239021,ESG
FACE,BFESGA,0.255089076672884,0.98878806488285,ESG
GAMMA400,BFESGA,0.313272368638787,0.734836828924772,ESG
HAYES-ROTH,BFESGA,0.0319125205586725,0.612140321238572,ESG
INDIAN,BFESGA,0.171724441034393,0.914850988745991,ESG
MARONNA,BFESGA,0.393475046715193,0.791198799654188,ESG
NUMBERS2,BFESGA,0.272748233471984,0.691792363327132,ESG
PARKINSONS,BFESGA,0.0354701761542186,0.861951721086388,ESG
RUSPINI,BFESGA,0.798926132904474,0.812896349420486,ESG
SONAR,BFESGA,0.0830901397841173,0.742533344011185,ESG
SPHERICAL4D3C,BFESGA,0.470090528272703,0.913594277168026,ESG
SPRDESP,BFESGA,0.238563640048223,0.912579917336436,ESG
SYNTHETICCONTROL,BFESGA,0.0495573247788345,0.672423667090077,ESG
TRIPADVISOR,BFESGA,0.0619115017926701,0.828223315424575,ESG
UNIFORM400,BFESGA,0.122028147590169,0.499587413252052,ESG
WAVEFORM21,ESGBRKGA,0.0105760249014252,0.71974041040878,ESG
2-FACE,BFESGA,0.340614666477673,0.721618221279898,ESG
BROKEN-RING,BFESGA,0.048178915073399,0.717472773569313,ESG
FORESTFIRES,BFESGA,0.15199107131971,0.905501527029105,ESG
GAUSS9,BFESGA,0.147175002981477,0.607748180470016,ESG
UNIFORM700,BFESGA,-0.0793994477050936,0.495029213714427,ESG
VOWEL2,BFESGA,0.23443278782528,0.775192265780596,ESG
200DATA,ASGBRKGA,0.78532036282998,0.899466769287645,ASG
400P3C,ASGBRKGA,0.533464879722937,0.930868405936974,ASG
A1,ASGBRKGA,0.0764986145230112,0.904704439960259,ASG
BANKNOTE,ASGBRKGA,0.13635092853879,0.927867890960805,ASG
CHART,ASGBRKGA,0.204057022564744,0.671284191884265,ASG
CONCRETEDATA,ASGBRKGA,0.340267624191476,0.899574199728461,ASG
DBLCA,ASGBRKGA,0.0957061058743503,0.720785788319065,ASG
DOWJONES,ASGBRKGA,0.310482301452934,0.653503104239021,ASG
FACE,ASGBRKGA,0.199116589039647,0.98878806488285,ASG
GAMMA400,ASGBRKGA,0.574697126684658,0.734836828924772,ASG
HAYES-ROTH,ASGBRKGA,0.117384125403385,0.612140321238572,ASG
INDIAN,ASGBRKGA,0.535110004656722,0.914850988745991,ASG
MARONNA,ASGBRKGA,0.341712793570809,0.791198799654188,ASG
NUMBERS2,ASGBRKGA,0.239285905781312,0.691792363327132,ASG
PARKINSONS,ASGBRKGA,0.189598735293011,0.861951721086388,ASG
RUSPINI,ASGBRKGA,0.369875810221751,0.812896349420486,ASG
SONAR,ASGBRKGA,0.338362777875667,0.742533344011185,ASG
SPHERICAL4D3C,ASGBRKGA,0.460719608066137,0.913594277168026,ASG
SPRDESP,ASGBRKGA,0.322858589015401,0.912579917336436,ASG
SYNTHETICCONTROL,ASGBRKGA,0.0321800424221864,0.672423667090077,ASG
TRIPADVISOR,ASGBRKGA,0.410637569143532,0.828223315424575,ASG
UNIFORM400,ASGBRKGA,0.187232066744759,0.499587413252052,ASG
WAVEFORM21,ASGBRKGA,0.0290916677507453,0.71974041040878,ASG
2-FACE,ASGBRKGA,0.137134073171096,0.721618221279898,ASG
BROKEN-RING,ASGBRKGA,0.13320847705583,0.717472773569313,ASG
FORESTFIRES,ASGBRKGA,0.385297274155523,0.905501527029105,ASG
GAUSS9,ASGBRKGA,0.135007114263267,0.607748180470016,ASG
UNIFORM700,ASGBRKGA,0.0762238491236235,0.495029213714427,ASG
VOWEL2,ASGBRKGA,0.241945432043777,0.775192265780596,ASG
