Base;K;ISM
200DATA;4;0.592737924946756
400P3C;3;0.810431039063672
A1;6;0.28440388660051
BANKNOTE;4;0.255275058392582
BREASTB;1;
CHART;4;0.0578079279096371
CONCRETEDATA;6;0.131141882514503
DBLCA;5;0.023603866875329
DOWJONES;4;0.0388124752126584
FACE;12;0.255725545157544
GAMMA400;4;0.310309789862344
HAYES-ROTH;5;0.036990946168614
INDIAN;4;0.450780274649366
MARONNA;6;0.393475046715193
NUMBERS2;8;0.272748233471984
OUTLIERS;2;0.191005866330081
PARKINSONS;3;0.210357865432349
RUSPINI;4;0.798926132904474
SONAR;5;0.085812867285321
SPHERICAL4D3C;7;0.323302216342955
SPRDESP;4;0.110443792303944
SYNTHETICCONTROL;5;0.0529359374889674
TRIPADVISOR;6;0.0891275324406614
UNIFORM400;9;0.174875736152594
WAVEFORM21;6;0.0713158834367072
AGGREGATION;9;0.212388195396774
COMPOUND;7;0.258552754668598
GLASS;2;0.326828300761838
ECOLI;6;0.113569386085536
FLAME;3;0.30370108387713
HABERMAN;4;0.215452117387521
IONOSPHERE;6;0.133483385134549
IRIS;6;0.179223225119934
JAIN;4;0.424731948740898
NEW-THYROID;5;0.514764640900524
PATHBASED;8;0.278607614833217
PIMA.INDIANS;6;0.135060324652852
R15;9;0.505811815542615
SEEDS;6;0.142433510432297
SPIRAL;12;0.288784000147423
WDBC;4;0.252516274268665
WINE;5;0.15447869330183
YEAST;5;0.131664245370818
2-FACE;6;0.364025063203838
BROKEN-RING;20;0.208483875502561
BUPA;3;0.163743555736849
FORESTFIRES;4;0.173329031707197
GAUSS9;9;0.208302548238498
UNIFORM700;9;0.183729688444396
VOWEL2;8;0.23443278782528
