Base;K;ISM;ICH;ICS;density.test
2-FACE;5;0.342646420604025;267.089259485479;29.11375;Hopkins
BROKEN-RING;20;0.207271516586685;596.456193884495;16.99675;Hopkins
BUPA;4;0.160233540200964;68.4449488741998;131.493719806763;Hopkins
FORESTFIRES;4;0.173329031707197;76.2181739264204;241.802707930368;Hopkins
GAUSS9;9;0.208302548238498;622.581323709906;42.175;Hopkins
UNIFORM700;8;0.0771972771609637;295.90990837784;34.6296428571429;Hopkins
VOWEL2;8;0.23443278782528;250.640742128162;34.0606060606061;Hopkins
2-FACE;5;0.340614666477673;177.976148377807;29.11375;Clark-Evans
BROKEN-RING;16;0.048178915073399;167.456067512782;16.99675;Clark-Evans
BUPA;4;0.160233540200964;68.4449488741998;131.493719806763;Clark-Evans
FORESTFIRES;4;0.173329031707197;76.2181739264204;241.802707930368;Clark-Evans
GAUSS9;7;0.147175002981477;411.035227672604;42.175;Clark-Evans
UNIFORM700;6;-0.0793994477050936;74.3263240477879;34.6296428571429;Clark-Evans
VOWEL2;8;0.23443278782528;250.640742128162;34.0606060606061;Clark-Evans
